"Hero","Hero","Games","W","L","Win %","Name","Name"
"windrunner","elder_titan","32","9","23","0.281","Windranger","Elder Titan"
"mirana","alchemist","59","18","41","0.305","Mirana","Alchemist"
"viper","visage","34","11","23","0.324","Viper","Visage"
"earthshaker","alchemist","34","11","23","0.324","Earthshaker","Alchemist"
"rattletrap","chen","61","20","41","0.328","Clockwerk","Chen"
"mirana","bounty_hunter","48","16","32","0.333","Mirana","Bounty Hunter"
"dark_seer","visage","36","12","24","0.333","Dark Seer","Visage"
"obsidian_destroyer","nyx_assassin","33","11","22","0.333","Outworld Devourer","Nyx Assassin"
"life_stealer","elder_titan","53","18","35","0.340","Lifestealer","Elder Titan"
"rattletrap","bristleback","50","17","33","0.340","Clockwerk","Bristleback"
"puck","furion","32","11","21","0.344","Puck","Natures Prophet"
"life_stealer","chen","34","12","22","0.353","Lifestealer","Chen"
"venomancer","elder_titan","59","21","38","0.356","Venomancer","Elder Titan"
"windrunner","venomancer","50","18","32","0.360","Windranger","Venomancer"
"puck","alchemist","33","12","21","0.364","Puck","Alchemist"
"enchantress","visage","46","17","29","0.370","Enchantress","Visage"
"windrunner","furion","43","16","27","0.372","Windranger","Natures Prophet"
"crystal_maiden","vengefulspirit","43","16","27","0.372","Crystal Maiden","Vengeful Spirit"
"obsidian_destroyer","visage","51","19","32","0.373","Outworld Devourer","Visage"
"mirana","furion","64","24","40","0.375","Mirana","Natures Prophet"
"rattletrap","lone_druid","45","17","28","0.378","Clockwerk","Lone Druid"
"naga_siren","visage","50","19","31","0.380","Naga Siren","Visage"
"windrunner","rubick","60","23","37","0.383","Windranger","Rubick"
"mirana","storm_spirit","47","18","29","0.383","Mirana","Storm Spirit"
"mirana","elder_titan","65","25","40","0.385","Mirana","Elder Titan"
"lich","chen","36","14","22","0.389","Lich","Chen"
"rattletrap","alchemist","109","43","66","0.394","Clockwerk","Alchemist"
"mirana","chen","45","18","27","0.400","Mirana","Chen"
"mirana","rubick","104","42","62","0.404","Mirana","Rubick"
"earthshaker","visage","47","19","28","0.404","Earthshaker","Visage"
"windrunner","life_stealer","37","15","22","0.405","Windranger","Lifestealer"
"weaver","elder_titan","37","15","22","0.405","Weaver","Elder Titan"
"rattletrap","elder_titan","69","28","41","0.406","Clockwerk","Elder Titan"
"life_stealer","weaver","64","26","38","0.406","Lifestealer","Weaver"
"batrider","shredder","32","13","19","0.406","Batrider","Timbersaw"
"furion","elder_titan","54","22","32","0.407","Natures Prophet","Elder Titan"
"puck","visage","44","18","26","0.409","Puck","Visage"
"storm_spirit","furion","39","16","23","0.410","Storm Spirit","Natures Prophet"
"rattletrap","bounty_hunter","56","23","33","0.411","Clockwerk","Bounty Hunter"
"crystal_maiden","storm_spirit","68","28","40","0.412","Crystal Maiden","Storm Spirit"
"crystal_maiden","luna","87","36","51","0.414","Crystal Maiden","Luna"
"rattletrap","furion","106","44","62","0.415","Clockwerk","Natures Prophet"
"rubick","visage","115","48","67","0.417","Rubick","Visage"
"windrunner","visage","72","30","42","0.417","Windranger","Visage"
"rattletrap","invoker","48","20","28","0.417","Clockwerk","Invoker"
"rattletrap","batrider","36","15","21","0.417","Clockwerk","Batrider"
"crystal_maiden","elder_titan","67","28","39","0.418","Crystal Maiden","Elder Titan"
"crystal_maiden","night_stalker","43","18","25","0.419","Crystal Maiden","Night Stalker"
"mirana","luna","57","24","33","0.421","Mirana","Luna"
"storm_spirit","visage","52","22","30","0.423","Storm Spirit","Visage"
"crystal_maiden","invoker","59","25","34","0.424","Crystal Maiden","Invoker"
"furion","doom_bringer","33","14","19","0.424","Natures Prophet","Doom"
"dragon_knight","chen","40","17","23","0.425","Dragon Knight","Chen"
"furion","chen","40","17","23","0.425","Natures Prophet","Chen"
"rubick","elder_titan","47","20","27","0.426","Rubick","Elder Titan"
"crystal_maiden","lich","75","32","43","0.427","Crystal Maiden","Lich"
"venomancer","luna","42","18","24","0.429","Venomancer","Luna"
"lich","furion","42","18","24","0.429","Lich","Natures Prophet"
"dragon_knight","furion","35","15","20","0.429","Dragon Knight","Natures Prophet"
"windrunner","luna","35","15","20","0.429","Windranger","Luna"
"life_stealer","visage","86","37","49","0.430","Lifestealer","Visage"
