"Hero","Hero","Games","W","L","Win %","Name","Name"
"shadow_demon","ember_spirit","35","19","16","0.543","Shadow Demon","Ember Spirit"
"rattletrap","centaur","35","17","18","0.486","Clockwerk","Centaur Warrunner"
"invoker","rubick","35","16","19","0.457","Invoker","Rubick"
"furion","ember_spirit","35","16","19","0.457","Natures Prophet","Ember Spirit"
"jakiro","doom_bringer","35","13","22","0.371","Jakiro","Doom"
"vengefulspirit","brewmaster","35","19","16","0.543","Vengeful Spirit","Brewmaster"
"jakiro","brewmaster","35","10","25","0.286","Jakiro","Brewmaster"
"vengefulspirit","doom_bringer","35","15","20","0.429","Vengeful Spirit","Doom"
"rubick","ember_spirit","35","14","21","0.400","Rubick","Ember Spirit"
"wisp","skywrath_mage","35","21","14","0.600","Io","Skywrath Mage"
"batrider","ember_spirit","35","15","20","0.429","Batrider","Ember Spirit"
"invoker","centaur","35","12","23","0.343","Invoker","Centaur Warrunner"
"mirana","lich","35","21","14","0.600","Mirana","Lich"
"doom_bringer","treant","35","21","14","0.600","Doom","Treant Protector"
"shadow_shaman","naga_siren","36","15","21","0.417","Shadow Shaman","Naga Siren"
"morphling","razor","36","17","19","0.472","Morphling","Razor"
"tinker","doom_bringer","36","14","22","0.389","Tinker","Doom"
"venomancer","skywrath_mage","36","13","23","0.361","Venomancer","Skywrath Mage"
"lich","skywrath_mage","36","13","23","0.361","Lich","Skywrath Mage"
"weaver","brewmaster","36","17","19","0.472","Weaver","Brewmaster"
"sand_king","skeleton_king","36","15","21","0.417","Sand King","Wraith King"
"ancient_apparition","rubick","36","15","21","0.417","Ancient Apparition","Rubick"
"furion","ancient_apparition","36","18","18","0.500","Natures Prophet","Ancient Apparition"
"pugna","skywrath_mage","36","15","21","0.417","Pugna","Skywrath Mage"
"shadow_shaman","rattletrap","36","20","16","0.556","Shadow Shaman","Clockwerk"
"death_prophet","invoker","36","22","14","0.611","Death Prophet","Invoker"
"sand_king","centaur","36","23","13","0.639","Sand King","Centaur Warrunner"
"razor","venomancer","36","22","14","0.611","Razor","Venomancer"
"sand_king","death_prophet","37","15","22","0.405","Sand King","Death Prophet"
"skeleton_king","ancient_apparition","37","22","15","0.595","Wraith King","Ancient Apparition"
"mirana","enchantress","37","17","20","0.459","Mirana","Enchantress"
"tidehunter","death_prophet","37","14","23","0.378","Tidehunter","Death Prophet"
"death_prophet","ancient_apparition","37","22","15","0.595","Death Prophet","Ancient Apparition"
"ancient_apparition","brewmaster","37","18","19","0.486","Ancient Apparition","Brewmaster"
"rattletrap","doom_bringer","37","16","21","0.432","Clockwerk","Doom"
"razor","lycan","37","15","22","0.405","Razor","Lycan"
"skeleton_king","invoker","37","19","18","0.514","Wraith King","Invoker"
"razor","queenofpain","37","17","20","0.459","Razor","Queen of Pain"
"sand_king","viper","37","24","13","0.649","Sand King","Viper"
"furion","lycan","37","15","22","0.405","Natures Prophet","Lycan"
"rattletrap","furion","37","17","20","0.459","Clockwerk","Natures Prophet"
"earthshaker","sand_king","38","19","19","0.500","Earthshaker","Sand King"
"skeleton_king","centaur","38","18","20","0.474","Wraith King","Centaur Warrunner"
"enigma","furion","38","22","16","0.579","Enigma","Natures Prophet"
"batrider","slark","38","20","18","0.526","Batrider","Slark"
"puck","batrider","38","14","24","0.368","Puck","Batrider"
"enigma","faceless_void","38","25","13","0.658","Enigma","Faceless Void"
"lycan","brewmaster","38","18","20","0.474","Lycan","Brewmaster"
"tinker","death_prophet","39","17","22","0.436","Tinker","Death Prophet"
"faceless_void","invoker","39","17","22","0.436","Faceless Void","Invoker"
