"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"lycan","Lycan","14.0","76.6","90.5","349","1911","2260"
"batrider","Batrider","24.2","56.9","81.0","604","1419","2023"
"doom_bringer","Doom","28.0","42.9","71.0","700","1071","1771"
"mirana","Mirana","42.7","26.2","68.9","1066","654","1720"
"invoker","Invoker","26.1","37.3","63.4","651","931","1582"
"brewmaster","Brewmaster","25.7","37.2","62.9","642","929","1571"
"viper","Viper","22.5","31.6","54.1","562","788","1350"
"ancient_apparition","Ancient Apparition","24.2","29.6","53.8","604","740","1344"
"centaur","Centaur Warrunner","28.7","24.0","52.6","716","598","1314"
"razor","Razor","22.4","28.4","50.9","560","710","1270"
"furion","Natures Prophet","25.8","21.0","46.9","645","525","1170"
"shadow_shaman","Shadow Shaman","27.1","18.8","45.9","677","468","1145"
"tidehunter","Tidehunter","22.2","22.6","44.8","555","563","1118"
"rubick","Rubick","30.0","13.0","43.0","748","325","1073"
"shadow_demon","Shadow Demon","24.9","18.0","42.9","622","450","1072"
"faceless_void","Faceless Void","19.1","23.5","42.6","477","587","1064"
"sand_king","Sand King","23.0","18.3","41.3","575","456","1031"
"death_prophet","Death Prophet","15.3","24.8","40.1","383","618","1001"
"skywrath_mage","Skywrath Mage","27.8","12.3","40.1","695","306","1001"
"treant","Treant Protector","21.4","16.7","38.1","533","417","950"
"skeleton_king","Wraith King","21.6","16.0","37.6","539","399","938"
"ember_spirit","Ember Spirit","14.8","21.8","36.6","370","543","913"
"tinker","Tinker","11.1","24.1","35.3","278","602","880"
"naga_siren","Naga Siren","10.1","23.6","33.6","251","588","839"
"wisp","Io","14.0","18.5","32.5","349","462","811"
"dark_seer","Dark Seer","16.2","14.5","30.7","405","361","766"
"puck","Puck","16.6","13.4","30.0","415","335","750"
"enchantress","Enchantress","13.5","14.6","28.1","337","364","701"
"earthshaker","Earthshaker","17.1","10.1","27.2","426","252","678"
"dazzle","Dazzle","13.4","11.9","25.2","334","296","630"
"morphling","Morphling","12.1","12.5","24.6","302","311","613"
"enigma","Enigma","12.3","11.5","23.8","307","287","594"
"dragon_knight","Dragon Knight","12.7","9.0","21.7","317","225","542"
"weaver","Weaver","11.1","10.5","21.6","277","261","538"
"disruptor","Disruptor","12.6","8.7","21.3","314","218","532"
"rattletrap","Clockwerk","11.6","9.0","20.6","289","224","513"
"lich","Lich","11.9","8.4","20.3","297","210","507"
"nyx_assassin","Nyx Assassin","10.8","9.5","20.3","270","236","506"
"bane","Bane","11.1","7.9","19.0","277","196","473"
"templar_assassin","Templar Assassin","8.6","10.3","18.9","215","256","471"
"slark","Slark","9.0","9.3","18.3","225","232","457"
"jakiro","Jakiro","11.9","5.8","17.7","297","144","441"
"vengefulspirit","Vengeful Spirit","13.1","4.4","17.6","328","111","439"
"luna","Luna","8.1","9.5","17.6","203","237","440"
"visage","Visage","9.2","6.7","15.9","230","167","397"
"pugna","Pugna","5.5","9.3","14.8","138","231","369"
"bristleback","Bristleback","8.3","6.4","14.7","207","159","366"
"storm_spirit","Storm Spirit","6.0","7.7","13.8","151","193","344"
"witch_doctor","Witch Doctor","9.7","3.8","13.6","243","96","339"
"obsidian_destroyer","Outworld Devourer","4.4","8.9","13.3","109","222","331"
"life_stealer","Lifestealer","6.7","6.1","12.7","166","152","318"
"gyrocopter","Gyrocopter","6.3","4.0","10.2","156","99","255"
"axe","Axe","5.4","4.4","9.9","135","111","246"
"chen","Chen","5.2","4.5","9.7","129","113","242"
"venomancer","Venomancer","6.0","3.5","9.5","149","87","236"
"tiny","Tiny","6.2","3.1","9.3","155","78","233"
"nevermore","Shadow Fiend","5.8","3.4","9.2","145","84","229"
"silencer","Silencer","4.9","3.4","8.3","123","85","208"
"lone_druid","Lone Druid","4.0","3.9","7.9","100","98","198"
"elder_titan","Elder Titan","5.3","2.4","7.7","133","59","192"
"kunkka","Kunkka","4.6","3.1","7.7","114","77","191"
"lion","Lion","5.9","1.4","7.3","148","35","183"
"shredder","Timbersaw","5.0","2.0","7.0","125","50","175"
"leshrac","Leshrac","5.4","1.6","6.9","134","39","173"
"queenofpain","Queen of Pain","4.8","2.0","6.8","121","49","170"
"alchemist","Alchemist","5.3","1.0","6.3","133","25","158"
"antimage","Anti Mage","2.8","2.9","5.7","69","73","142"
"spectre","Spectre","3.2","2.6","5.7","79","64","143"
"keeper_of_the_light","Keeper of the Light","3.4","1.9","5.4","86","48","134"
"windrunner","Windranger","4.8","0.5","5.3","121","12","133"
"drow_ranger","Drow Ranger","3.2","1.9","5.2","81","48","129"
"magnataur","Magnus","3.4","1.3","4.7","86","32","118"
"abaddon","Abaddon","2.9","1.5","4.4","73","38","111"
"phantom_assassin","Phantom Assassin","2.8","1.3","4.1","70","32","102"
"clinkz","Clinkz","2.6","1.3","3.9","66","32","98"
"tusk","Tusk","2.6","1.3","3.9","65","33","98"
"juggernaut","Juggernaut","2.8","1.1","3.9","69","28","97"
"meepo","Meepo","2.0","1.9","3.9","51","47","98"
"undying","Undying","2.9","0.5","3.4","72","12","84"
"beastmaster","Beastmaster","2.4","0.8","3.2","60","20","80"
"troll_warlord","Troll Warlord","1.8","1.5","3.2","44","37","81"
"warlock","Warlock","1.7","1.4","3.1","43","34","77"
"ursa","Ursa","1.8","1.3","3.1","46","32","78"
"bloodseeker","Bloodseeker","1.6","1.2","2.8","41","29","70"
"crystal_maiden","Crystal Maiden","2.1","0.6","2.7","52","16","68"
"bounty_hunter","Bounty Hunter","2.0","0.5","2.5","50","12","62"
"night_stalker","Night Stalker","1.8","0.6","2.4","46","14","60"
"sniper","Sniper","1.5","0.8","2.2","37","19","56"
"sven","Sven","1.6","0.6","2.2","41","15","56"
"omniknight","Omniknight","1.4","0.6","2.0","34","15","49"
"slardar","Slardar","1.2","0.6","1.9","31","16","47"
"zuus","Zeus","1.5","0.3","1.8","38","8","46"
"chaos_knight","Chaos Knight","0.9","0.6","1.5","23","15","38"
"riki","Riki","0.8","0.6","1.3","19","14","33"
"huskar","Huskar","0.9","0.4","1.3","22","11","33"
"lina","Lina","1.1","0.1","1.2","27","2","29"
"pudge","Pudge","0.8","0.2","1.1","21","6","27"
"phantom_lancer","Phantom Lancer","0.6","0.3","0.9","16","7","23"
"ogre_magi","Ogre Magi","0.8","0.1","0.9","21","2","23"
"necrolyte","Necrophos","0.7","0.1","0.8","17","2","19"
"medusa","Medusa","0.4","0.3","0.7","10","7","17"
"spirit_breaker","Spirit Breaker","0.1","0.1","0.2","3","2","5"
"unknown","Unknown","0.0","0.0","0.0","0","1","1"
