"Hero","Name","Pick %","Ban %","Pick or Ban %","Times Picked","Times Banned","Times Picked or Banned"
"lycan","Lycan","15.2","77.7","92.9","225","1154","1379"
"doom_bringer","Doom","31.3","53.3","84.6","465","792","1257"
"brewmaster","Brewmaster","31.5","49.2","80.7","468","730","1198"
"razor","Razor","33.7","44.4","78.0","500","659","1159"
"batrider","Batrider","24.8","43.9","68.7","368","652","1020"
"viper","Viper","27.1","38.7","65.9","403","575","978"
"faceless_void","Faceless Void","29.2","36.1","65.3","433","536","969"
"skywrath_mage","Skywrath Mage","44.2","20.5","64.8","657","305","962"
"mirana","Mirana","37.5","25.2","62.7","557","374","931"
"shadow_shaman","Shadow Shaman","35.8","25.6","61.4","532","380","912"
"death_prophet","Death Prophet","23.0","38.3","61.3","342","569","911"
"tidehunter","Tidehunter","27.5","29.6","57.1","408","440","848"
"furion","Natures Prophet","28.2","25.0","53.2","419","371","790"
"tinker","Tinker","15.3","37.9","53.2","227","563","790"
"centaur","Centaur Warrunner","25.1","20.3","45.4","373","301","674"
"invoker","Invoker","19.3","25.0","44.2","286","371","657"
"ancient_apparition","Ancient Apparition","19.1","22.7","41.8","284","337","621"
"earthshaker","Earthshaker","25.2","16.3","41.5","374","242","616"
"rubick","Rubick","27.0","11.4","38.4","401","169","570"
"skeleton_king","Wraith King","20.1","15.3","35.4","299","227","526"
"enigma","Enigma","17.1","16.8","33.9","254","249","503"
"ember_spirit","Ember Spirit","16.9","16.6","33.5","251","247","498"
"shadow_demon","Shadow Demon","18.5","14.1","32.6","274","210","484"
"naga_siren","Naga Siren","10.5","18.9","29.4","156","280","436"
"sand_king","Sand King","16.6","10.8","27.4","246","161","407"
"enchantress","Enchantress","12.6","14.4","27.0","187","214","401"
"wisp","Io","12.1","13.9","26.1","180","207","387"
"jakiro","Jakiro","15.8","8.8","24.6","234","131","365"
"treant","Treant Protector","12.5","10.6","23.0","185","157","342"
"puck","Puck","13.7","9.2","22.8","203","136","339"
"vengefulspirit","Vengeful Spirit","16.4","5.8","22.2","244","86","330"
"bristleback","Bristleback","11.7","9.6","21.3","174","143","317"
"morphling","Morphling","10.2","10.6","20.7","151","157","308"
"lich","Lich","11.6","7.9","19.5","172","117","289"
"rattletrap","Clockwerk","11.0","8.2","19.2","163","122","285"
"pugna","Pugna","6.6","12.6","19.2","98","187","285"
"bane","Bane","10.6","6.6","17.2","157","98","255"
"weaver","Weaver","9.0","7.7","16.8","134","115","249"
"disruptor","Disruptor","9.6","5.9","15.5","143","87","230"
"visage","Visage","8.4","7.1","15.5","125","105","230"
"templar_assassin","Templar Assassin","6.6","8.1","14.7","98","120","218"
"dragon_knight","Dragon Knight","8.9","5.6","14.5","132","83","215"
"witch_doctor","Witch Doctor","9.9","4.5","14.4","147","67","214"
"slark","Slark","7.1","7.1","14.1","105","105","210"
"dark_seer","Dark Seer","7.3","6.4","13.7","109","95","204"
"venomancer","Venomancer","8.1","4.8","12.9","120","72","192"
"silencer","Silencer","6.6","5.2","11.8","98","77","175"
"dazzle","Dazzle","6.4","4.2","10.6","95","62","157"
"luna","Luna","4.9","5.3","10.2","73","78","151"
"nyx_assassin","Nyx Assassin","5.8","3.6","9.4","86","54","140"
"lion","Lion","7.0","2.0","9.0","104","29","133"
"gyrocopter","Gyrocopter","5.0","3.9","8.9","74","58","132"
"storm_spirit","Storm Spirit","4.1","4.7","8.8","61","70","131"
"queenofpain","Queen of Pain","5.5","2.7","8.2","82","40","122"
"alchemist","Alchemist","6.8","1.3","8.1","101","20","121"
"kunkka","Kunkka","4.6","3.2","7.8","69","47","116"
"lone_druid","Lone Druid","4.0","3.6","7.6","60","53","113"
"obsidian_destroyer","Outworld Devourer","2.8","4.4","7.3","42","66","108"
"life_stealer","Lifestealer","3.9","3.2","7.1","58","47","105"
"elder_titan","Elder Titan","4.9","2.1","7.0","73","31","104"
"drow_ranger","Drow Ranger","4.1","2.9","7.0","61","43","104"
"leshrac","Leshrac","5.6","1.2","6.8","83","18","101"
"tiny","Tiny","4.6","1.8","6.5","69","27","96"
"chen","Chen","3.5","2.8","6.3","52","42","94"
"windrunner","Windranger","5.1","0.8","5.9","75","12","87"
"meepo","Meepo","2.7","2.6","5.3","40","38","78"
"phantom_assassin","Phantom Assassin","3.4","1.7","5.1","50","25","75"
"juggernaut","Juggernaut","3.6","1.5","5.1","53","22","75"
"shredder","Timbersaw","3.3","1.7","5.0","49","25","74"
"spectre","Spectre","2.9","1.9","4.8","43","28","71"
"magnataur","Magnus","3.3","1.5","4.8","49","22","71"
"tusk","Tusk","2.9","1.8","4.6","43","26","69"
"undying","Undying","3.5","0.7","4.2","52","10","62"
"warlock","Warlock","2.3","1.9","4.2","34","28","62"
"axe","Axe","2.8","1.3","4.1","42","19","61"
"abaddon","Abaddon","3.0","1.0","4.0","45","15","60"
"clinkz","Clinkz","2.4","1.5","3.9","36","22","58"
"antimage","Anti Mage","2.2","1.6","3.8","32","24","56"
"beastmaster","Beastmaster","2.7","1.1","3.8","40","16","56"
"nevermore","Shadow Fiend","2.7","1.1","3.8","40","17","57"
"troll_warlord","Troll Warlord","1.9","1.5","3.4","28","22","50"
"sven","Sven","2.2","0.9","3.1","32","14","46"
"omniknight","Omniknight","1.9","0.9","2.8","28","13","41"
"sniper","Sniper","1.8","0.9","2.6","26","13","39"
"ursa","Ursa","1.6","0.7","2.4","24","11","35"
"bloodseeker","Bloodseeker","1.1","1.0","2.2","17","15","32"
"zuus","Zeus","1.8","0.3","2.1","26","5","31"
"bounty_hunter","Bounty Hunter","1.4","0.5","1.9","21","7","28"
"chaos_knight","Chaos Knight","1.1","0.5","1.6","16","8","24"
"keeper_of_the_light","Keeper of the Light","0.7","0.7","1.3","10","10","20"
"ogre_magi","Ogre Magi","1.1","0.0","1.1","16","0","16"
"night_stalker","Night Stalker","0.9","0.2","1.1","13","3","16"
"slardar","Slardar","0.8","0.3","1.1","12","5","17"
"lina","Lina","0.9","0.1","1.0","14","1","15"
"pudge","Pudge","0.6","0.3","0.9","9","4","13"
"crystal_maiden","Crystal Maiden","0.6","0.1","0.7","9","1","10"
"riki","Riki","0.4","0.2","0.6","6","3","9"
