"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"alchemist","Alchemist","176","91","85","0.517","17.6","4.7","4.1","8.9","19947.0","189.3","10.3","540.8","496.8"
"ancient_apparition","Ancient Apparition","49","19","30","0.388","10.7","2.4","5.7","8.1","6155.6","22.6","3.5","182.4","206.7"
"antimage","Anti Mage","282","144","138","0.511","20.1","6.6","2.9","4.8","21876.7","304.3","19.6","584.1","625.0"
"axe","Axe","19","8","11","0.421","13.6","5.4","5.1","5.9","9916.4","100.0","3.1","331.8","369.2"
"bane","Bane","431","212","219","0.492","12.4","2.8","5.1","8.0","7355.6","27.0","3.9","209.9","259.9"
"batrider","Batrider","441","228","213","0.517","15.2","4.3","4.3","10.0","11258.9","113.4","5.9","329.7","391.6"
"beastmaster","Beastmaster","176","81","95","0.460","15.0","2.7","4.4","9.1","11374.3","118.1","4.6","325.8","374.1"
"bloodseeker","Bloodseeker","2","2","0","1.000","19.5","11.0","2.5","14.0","17270.8","130.5","12.5","466.5","558.5"
"bounty_hunter","Bounty Hunter","169","87","82","0.515","15.4","5.0","4.5","6.5","13141.4","87.2","5.3","363.4","383.3"
"brewmaster","Brewmaster","166","73","93","0.440","15.5","4.3","4.0","8.3","10945.6","109.2","9.1","320.1","406.3"
"bristleback","Bristleback","6","4","2","0.667","16.7","4.5","4.0","9.7","15076.8","170.5","11.3","439.2","452.8"
"broodmother","Broodmother","21","7","14","0.333","16.7","3.5","4.6","4.6","13565.6","168.9","5.4","417.8","499.0"
"chaos_knight","Chaos Knight","238","128","110","0.538","15.5","7.1","4.7","9.3","13793.2","128.2","13.9","410.3","421.5"
"chen","Chen","304","178","126","0.586","12.3","2.8","3.4","7.5","8877.5","78.1","0.8","277.9","277.3"
"clinkz","Clinkz","75","37","38","0.493","17.8","6.5","3.9","4.6","15688.7","175.4","13.0","467.8","544.9"
"rattletrap","Clockwerk","460","255","205","0.554","14.1","3.8","4.8","11.3","10002.7","77.8","4.6","281.5","329.2"
"crystal_maiden","Crystal Maiden","35","12","23","0.343","11.5","2.5","5.9","8.8","6967.0","30.5","2.2","198.7","223.9"
"dark_seer","Dark Seer","836","387","449","0.463","15.4","3.3","4.2","9.4","12194.9","143.0","1.5","349.8","396.3"
"dazzle","Dazzle","18","8","10","0.444","10.2","0.9","4.2","7.9","5922.1","29.4","3.1","197.9","214.8"
"death_prophet","Death Prophet","5","2","3","0.400","17.0","6.4","4.2","8.0","15080.6","155.8","7.6","398.4","463.4"
"disruptor","Disruptor","89","38","51","0.427","12.1","2.6","5.2","10.7","6943.8","28.6","2.9","202.7","256.1"
"doom_bringer","Doom","35","20","15","0.571","17.9","5.9","4.3","9.8","17857.8","158.6","8.0","456.1","468.4"
"dragon_knight","Dragon Knight","166","97","69","0.584","16.5","4.9","3.7","8.3","14571.4","158.5","9.0","425.9","456.0"
"drow_ranger","Drow Ranger","22","12","10","0.545","15.7","5.2","3.2","6.0","15114.5","170.8","14.0","477.2","451.5"
"earthshaker","Earthshaker","97","48","49","0.495","12.9","2.1","5.2","11.0","8251.2","45.0","1.1","215.0","258.6"
"enchantress","Enchantress","140","73","67","0.521","13.4","3.9","3.9","7.3","9594.0","86.1","0.8","279.9","309.2"
"enigma","Enigma","160","79","81","0.494","15.1","2.3","4.7","9.7","12251.9","141.3","10.5","340.1","366.4"
"faceless_void","Faceless Void","116","50","66","0.431","18.7","6.6","3.9","6.8","18529.8","222.3","19.4","481.8","530.8"
"gyrocopter","Gyrocopter","793","421","372","0.531","17.4","6.3","4.0","8.1","17697.3","217.5","13.5","490.0","489.5"
"huskar","Huskar","1","0","1","0.000","18.0","6.0","7.0","1.0","14479.9","171.0","23.0","408.0","524.0"
"invoker","Invoker","62","29","33","0.468","16.7","5.1","4.0","9.5","13915.2","144.1","20.2","380.6","442.8"
"wisp","Io","302","179","123","0.593","13.1","3.3","5.0","12.1","7873.1","33.2","2.5","243.5","315.6"
"jakiro","Jakiro","337","153","184","0.454","12.0","2.3","5.2","10.1","7453.8","37.9","2.2","211.4","247.1"
"juggernaut","Juggernaut","238","108","130","0.454","15.9","5.5","3.8","6.3","13650.6","144.8","11.1","396.6","427.5"
"keeper_of_the_light","Keeper of the Light","742","396","346","0.534","12.3","2.1","4.2","7.9","9259.4","80.9","1.7","255.5","248.4"
"kunkka","Kunkka","103","50","53","0.485","16.4","5.1","4.2","9.8","14397.2","163.3","9.7","387.4","418.7"
"leshrac","Leshrac","471","233","238","0.495","12.7","3.4","5.1","8.9","9282.4","65.6","3.8","268.2","279.3"
"lich","Lich","12","3","9","0.250","11.3","2.2","5.8","6.4","6308.6","29.8","5.4","187.9","229.4"
"life_stealer","Lifestealer","778","427","351","0.549","17.5","6.5","3.2","7.8","16293.4","172.0","15.7","470.4","507.6"
"lina","Lina","370","167","203","0.451","12.6","4.0","5.8","7.8","8546.0","52.1","2.0","230.8","259.7"
"lion","Lion","103","53","50","0.515","12.5","3.1","5.8","7.8","7727.8","35.4","2.9","216.0","260.7"
"lone_druid","Lone Druid","715","364","351","0.509","16.6","3.4","3.0","6.2","15359.1","175.6","12.3","446.0","466.0"
"luna","Luna","325","169","156","0.520","17.9","6.1","3.8","8.0","18439.1","229.7","18.4","515.2","519.7"
"lycan","Lycan","38","15","23","0.395","16.1","3.6","3.6","4.9","14559.1","171.4","5.9","435.8","446.9"
"magnataur","Magnus","915","425","490","0.464","15.8","4.3","4.5","8.7","11652.6","114.5","5.6","325.5","402.0"
"medusa","Medusa","1","1","0","1.000","21.0","8.0","4.0","12.0","26275.2","291.0","21.0","714.0","646.0"
"meepo","Meepo","5","3","2","0.600","19.2","7.0","5.0","5.4","19906.6","275.2","14.2","528.4","592.2"
"mirana","Mirana","31","13","18","0.419","16.9","5.6","3.6","8.2","15671.8","181.5","13.0","405.3","434.5"
"morphling","Morphling","40","21","19","0.525","18.5","7.7","2.7","6.4","19881.6","256.3","25.2","515.2","524.9"
"naga_siren","Naga Siren","66","33","33","0.500","16.7","4.3","3.9","9.2","17691.4","228.4","8.1","434.4","416.3"
"furion","Natures Prophet","557","314","243","0.564","17.7","4.6","4.5","10.1","17782.5","205.2","4.9","492.2","502.4"
"necrolyte","Necrophos","9","4","5","0.444","15.6","4.2","4.7","9.9","13110.0","157.3","19.2","381.2","416.9"
"night_stalker","Night Stalker","111","54","57","0.486","16.3","5.7","4.4","8.2","12707.3","118.2","8.2","356.4","433.0"
"nyx_assassin","Nyx Assassin","630","340","290","0.540","13.5","3.3","4.9","10.2","8341.2","41.0","3.2","239.2","310.9"
"ogre_magi","Ogre Magi","30","16","14","0.533","12.0","1.9","5.3","9.1","6974.5","18.4","2.1","196.3","240.9"
"omniknight","Omniknight","14","5","9","0.357","13.0","2.1","3.4","3.8","8308.4","64.2","4.1","255.1","304.6"
"obsidian_destroyer","Outworld Devourer","40","19","21","0.475","16.1","5.7","3.6","5.2","13407.0","148.7","30.3","407.5","460.1"
"phantom_assassin","Phantom Assassin","40","17","23","0.425","16.5","6.2","3.3","6.2","14386.5","163.7","11.0","438.1","487.3"
"phantom_lancer","Phantom Lancer","276","128","148","0.464","19.0","6.8","3.2","6.0","21151.1","292.6","13.5","538.4","535.2"
"puck","Puck","411","196","215","0.477","16.7","5.7","4.8","9.7","13037.2","134.3","11.2","361.3","443.4"
"pudge","Pudge","19","7","12","0.368","13.5","6.3","4.9","6.1","9174.9","64.2","5.6","292.5","348.0"
"pugna","Pugna","10","2","8","0.200","14.7","5.5","6.8","8.1","11771.5","124.4","6.0","339.4","364.9"
"queenofpain","Queen of Pain","581","277","304","0.477","18.0","8.0","4.2","7.4","15674.2","174.3","15.9","427.9","505.6"
"razor","Razor","18","8","10","0.444","14.8","6.4","5.6","8.2","13398.7","139.9","12.5","405.1","390.8"
"riki","Riki","21","10","11","0.476","13.7","7.6","3.5","4.8","10835.9","106.4","10.2","425.0","443.8"
"rubick","Rubick","1013","505","508","0.499","12.6","2.6","5.0","9.6","7983.7","43.4","2.8","226.0","264.2"
"sand_king","Sand King","190","89","101","0.468","13.5","3.0","5.7","10.6","8981.7","55.9","1.7","239.1","289.1"
"shadow_demon","Shadow Demon","1017","458","559","0.450","11.7","2.5","5.5","9.3","7252.9","33.3","2.6","202.6","229.9"
"nevermore","Shadow Fiend","107","47","60","0.439","18.8","7.3","4.6","6.6","19882.5","259.5","24.6","525.5","537.5"
"shadow_shaman","Shadow Shaman","82","42","40","0.512","12.3","2.7","5.8","8.7","8760.0","56.7","2.7","260.1","265.5"
"silencer","Silencer","104","54","50","0.519","13.6","3.6","4.5","7.2","9592.9","66.1","6.7","253.8","297.1"
"skywrath_mage","Skywrath Mage","47","26","21","0.553","13.7","5.0","4.1","8.5","9359.2","55.8","8.4","257.8","315.7"
"slardar","Slardar","12","3","9","0.250","14.1","3.6","4.5","6.7","11685.5","120.4","13.7","337.2","357.7"
"slark","Slark","27","16","11","0.593","17.7","7.1","3.8","7.8","14529.2","159.3","8.7","409.5","509.7"
"sniper","Sniper","12","4","8","0.333","14.6","5.2","5.1","6.0","11892.5","131.3","18.9","399.9","413.4"
"spectre","Spectre","47","18","29","0.383","18.5","8.1","4.1","12.3","18560.7","235.9","16.2","449.1","499.3"
"spirit_breaker","Spirit Breaker","2","0","2","0.000","13.0","5.5","3.0","4.0","7409.6","70.0","9.5","304.0","396.0"
"storm_spirit","Storm Spirit","195","106","89","0.544","17.0","7.3","4.7","8.9","14043.1","145.2","11.0","403.7","484.9"
"sven","Sven","117","58","59","0.496","14.6","3.6","4.4","7.4","12270.6","119.6","9.8","332.1","346.8"
"templar_assassin","Templar Assassin","261","134","127","0.513","17.3","6.5","3.9","5.8","15146.4","166.6","17.8","437.5","499.5"
"tidehunter","Tidehunter","77","37","40","0.481","14.0","2.8","4.9","10.4","9465.4","73.8","3.0","259.2","321.3"
"shredder","Timbersaw","6","3","3","0.500","18.7","9.0","5.7","8.3","15668.2","157.8","5.5","370.2","463.3"
"tinker","Tinker","146","73","73","0.500","18.1","5.1","4.1","8.5","17280.5","224.8","8.0","435.2","471.4"
"tiny","Tiny","59","25","34","0.424","18.0","7.3","4.8","7.6","18672.7","220.3","14.5","510.1","507.5"
"treant","Treant Protector","46","22","24","0.478","12.6","1.1","3.6","4.3","7838.2","56.9","5.0","227.7","270.1"
"tusk","Tusk","7","6","1","0.857","15.1","5.0","6.1","15.1","10400.5","43.1","2.3","308.4","376.4"
"undying","Undying","159","75","84","0.472","12.4","3.0","4.9","11.6","7759.7","39.2","3.7","231.5","270.1"
"ursa","Ursa","15","7","8","0.467","17.5","6.9","5.7","7.9","15375.2","151.7","7.0","418.5","474.3"
"vengefulspirit","Vengeful Spirit","85","41","44","0.482","11.2","1.6","5.4","9.1","6534.8","24.7","2.0","203.1","239.3"
"venomancer","Venomancer","97","49","48","0.505","11.3","2.0","5.1","11.7","7865.7","48.7","2.1","233.3","225.8"
"viper","Viper","3","2","1","0.667","17.7","9.7","4.7","8.3","15768.3","166.0","18.7","484.7","546.3"
"visage","Visage","203","107","96","0.527","12.8","5.4","4.0","8.1","8725.9","43.2","3.5","245.0","274.4"
"warlock","Warlock","60","26","34","0.433","13.2","4.1","4.4","7.5","9814.5","86.5","10.6","317.8","336.7"
"weaver","Weaver","262","126","136","0.481","17.8","6.4","4.1","7.6","15557.2","172.5","12.6","423.7","494.8"
"windrunner","Windranger","254","130","124","0.512","14.4","3.8","3.8","7.6","11053.0","105.2","9.5","323.9","359.7"
"witch_doctor","Witch Doctor","14","10","4","0.714","12.7","2.8","7.7","11.5","8083.0","31.1","3.4","215.4","250.9"
"skeleton_king","Wraith King","2","2","0","1.000","17.0","8.0","2.0","15.0","15185.4","106.5","4.5","565.0","571.5"
"zuus","Zeus","13","4","9","0.308","15.6","5.4","5.4","12.5","11593.7","107.6","5.3","302.0","383.5"
