"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","46","21","25","0.457","12.7","2.4","3.9","8.7","8663.5","35.5","2.8","254.0","284.3"
"alchemist","Alchemist","105","54","51","0.514","15.8","2.6","4.5","11.0","14721.0","121.6","3.2","396.4","407.4"
"ancient_apparition","Ancient Apparition","293","144","149","0.491","12.3","3.1","4.4","9.4","8474.7","33.7","3.1","241.0","259.1"
"antimage","Anti Mage","35","18","17","0.514","20.1","6.7","3.1","5.3","24332.3","341.0","22.4","638.8","626.5"
"axe","Axe","43","17","26","0.395","15.7","7.4","6.0","7.1","13756.5","126.5","4.4","392.4","415.3"
"bane","Bane","166","84","82","0.506","13.1","3.3","5.3","9.4","9060.8","28.5","3.1","249.4","276.1"
"batrider","Batrider","385","187","198","0.486","16.0","4.5","4.6","10.5","13268.8","131.0","2.4","362.8","406.0"
"beastmaster","Beastmaster","41","20","21","0.488","14.9","2.0","4.2","9.6","11994.1","104.8","4.0","328.8","355.2"
"bloodseeker","Bloodseeker","18","9","9","0.500","17.6","6.9","4.7","8.5","16994.6","173.6","20.8","479.3","494.8"
"bounty_hunter","Bounty Hunter","22","12","10","0.545","13.5","4.0","4.8","7.2","11352.5","34.6","2.3","320.3","306.1"
"brewmaster","Brewmaster","496","263","233","0.530","16.9","5.4","3.9","9.6","14527.1","132.0","9.1","399.2","452.1"
"bristleback","Bristleback","185","91","94","0.492","16.8","5.0","4.5","8.3","15606.8","162.1","7.9","434.5","450.0"
"centaur","Centaur Warrunner","393","191","202","0.486","15.9","4.4","5.2","9.6","13280.0","123.8","7.3","366.8","410.7"
"chaos_knight","Chaos Knight","16","7","9","0.438","16.7","7.3","3.9","8.6","16686.5","156.3","16.0","457.3","454.8"
"chen","Chen","55","27","28","0.491","12.4","2.4","4.6","8.0","10050.8","75.9","0.9","284.8","252.4"
"clinkz","Clinkz","39","19","20","0.487","18.9","7.3","4.2","5.9","19447.4","215.0","13.6","515.3","544.1"
"rattletrap","Clockwerk","175","83","92","0.474","14.3","4.3","5.8","10.8","11176.9","80.8","4.5","311.7","342.0"
"crystal_maiden","Crystal Maiden","9","5","4","0.556","11.7","1.6","4.4","9.2","7691.8","33.7","0.6","239.1","262.1"
"dark_seer","Dark Seer","116","47","69","0.405","15.4","3.2","4.1","9.8","13610.8","153.3","1.0","387.1","399.4"
"dazzle","Dazzle","98","47","51","0.480","12.4","2.0","4.4","7.9","8631.1","44.5","3.6","257.5","272.4"
"death_prophet","Death Prophet","364","213","151","0.585","18.2","6.3","3.9","7.8","18334.1","211.8","9.2","511.3","526.7"
