"Hero","Hero","Games","W","L","Win %","Name","Name"
"faceless_void","skywrath_mage","143","70","73","0.490","Faceless Void","Skywrath Mage"
"mirana","faceless_void","106","58","48","0.547","Mirana","Faceless Void"
"centaur","skywrath_mage","104","56","48","0.538","Centaur Warrunner","Skywrath Mage"
"shadow_shaman","doom_bringer","104","61","43","0.587","Shadow Shaman","Doom"
"shadow_shaman","brewmaster","103","53","50","0.515","Shadow Shaman","Brewmaster"
"brewmaster","skywrath_mage","103","62","41","0.602","Brewmaster","Skywrath Mage"
"viper","skywrath_mage","102","53","49","0.520","Viper","Skywrath Mage"
"mirana","shadow_demon","102","53","49","0.520","Mirana","Shadow Demon"
"razor","skywrath_mage","101","46","55","0.455","Razor","Skywrath Mage"
"furion","skywrath_mage","101","50","51","0.495","Natures Prophet","Skywrath Mage"
"shadow_shaman","furion","96","54","42","0.563","Shadow Shaman","Natures Prophet"
"earthshaker","shadow_shaman","96","51","45","0.531","Earthshaker","Shadow Shaman"
"skeleton_king","skywrath_mage","92","42","50","0.457","Wraith King","Skywrath Mage"
"shadow_shaman","viper","91","41","50","0.451","Shadow Shaman","Viper"
"shadow_shaman","tidehunter","90","50","40","0.556","Shadow Shaman","Tidehunter"
"mirana","brewmaster","88","53","35","0.602","Mirana","Brewmaster"
"mirana","shadow_shaman","87","51","36","0.586","Mirana","Shadow Shaman"
"doom_bringer","skywrath_mage","85","39","46","0.459","Doom","Skywrath Mage"
"batrider","skywrath_mage","85","34","51","0.400","Batrider","Skywrath Mage"
"razor","shadow_shaman","85","49","36","0.576","Razor","Shadow Shaman"
"shadow_shaman","centaur","84","35","49","0.417","Shadow Shaman","Centaur Warrunner"
"furion","brewmaster","83","49","34","0.590","Natures Prophet","Brewmaster"
"earthshaker","skywrath_mage","83","38","45","0.458","Earthshaker","Skywrath Mage"
"mirana","skywrath_mage","79","42","37","0.532","Mirana","Skywrath Mage"
"tidehunter","skywrath_mage","79","31","48","0.392","Tidehunter","Skywrath Mage"
"razor","rubick","78","40","38","0.513","Razor","Rubick"
"mirana","tidehunter","77","46","31","0.597","Mirana","Tidehunter"
"razor","faceless_void","77","33","44","0.429","Razor","Faceless Void"
"mirana","razor","76","47","29","0.618","Mirana","Razor"
"death_prophet","skywrath_mage","74","42","32","0.568","Death Prophet","Skywrath Mage"
"skywrath_mage","ember_spirit","73","31","42","0.425","Skywrath Mage","Ember Spirit"
"doom_bringer","rubick","73","41","32","0.562","Doom","Rubick"
