"Hero","Hero","Games","W","L","Win %","Name","Name"
"tiny","wisp","205","111","94","0.541","Tiny","Io"
"earthshaker","nevermore","203","99","104","0.488","Earthshaker","Shadow Fiend"
"nevermore","vengefulspirit","200","108","92","0.540","Shadow Fiend","Vengeful Spirit"
"juggernaut","vengefulspirit","195","121","74","0.621","Juggernaut","Vengeful Spirit"
"nevermore","lion","192","89","103","0.464","Shadow Fiend","Lion"
"vengefulspirit","batrider","189","100","89","0.529","Vengeful Spirit","Batrider"
"juggernaut","lion","185","115","70","0.622","Juggernaut","Lion"
"lion","troll_warlord","178","86","92","0.483","Lion","Troll Warlord"
"lion","queenofpain","168","73","95","0.435","Lion","Queen of Pain"
"axe","skywrath_mage","159","69","90","0.434","Axe","Skywrath Mage"
"axe","vengefulspirit","157","78","79","0.497","Axe","Vengeful Spirit"
"axe","lion","154","73","81","0.474","Axe","Lion"
"earthshaker","skywrath_mage","142","66","76","0.465","Earthshaker","Skywrath Mage"
"vengefulspirit","troll_warlord","142","77","65","0.542","Vengeful Spirit","Troll Warlord"
"earthshaker","storm_spirit","139","69","70","0.496","Earthshaker","Storm Spirit"
"vengefulspirit","queenofpain","137","70","67","0.511","Vengeful Spirit","Queen of Pain"
"nevermore","skywrath_mage","136","60","76","0.441","Shadow Fiend","Skywrath Mage"
"earthshaker","lion","135","67","68","0.496","Earthshaker","Lion"
"zuus","lion","135","74","61","0.548","Zeus","Lion"
"axe","nevermore","134","63","71","0.470","Axe","Shadow Fiend"
"storm_spirit","lion","133","62","71","0.466","Storm Spirit","Lion"
"lion","batrider","132","72","60","0.545","Lion","Batrider"
"rattletrap","skywrath_mage","131","74","57","0.565","Clockwerk","Skywrath Mage"
"earthshaker","queenofpain","131","69","62","0.527","Earthshaker","Queen of Pain"
"earthshaker","sniper","128","68","60","0.531","Earthshaker","Sniper"
"juggernaut","skywrath_mage","128","66","62","0.516","Juggernaut","Skywrath Mage"
"lion","rattletrap","127","65","62","0.512","Lion","Clockwerk"
"earthshaker","juggernaut","122","73","49","0.598","Earthshaker","Juggernaut"
"vengefulspirit","rattletrap","121","60","61","0.496","Vengeful Spirit","Clockwerk"
"lion","bristleback","119","56","63","0.471","Lion","Bristleback"
"axe","dazzle","118","56","62","0.475","Axe","Dazzle"
"vengefulspirit","ancient_apparition","117","58","59","0.496","Vengeful Spirit","Ancient Apparition"
"witch_doctor","rattletrap","116","53","63","0.457","Witch Doctor","Clockwerk"
"vengefulspirit","zuus","116","60","56","0.517","Vengeful Spirit","Zeus"
"vengefulspirit","sniper","116","64","52","0.552","Vengeful Spirit","Sniper"
"troll_warlord","skywrath_mage","114","55","59","0.482","Troll Warlord","Skywrath Mage"
"earthshaker","batrider","114","65","49","0.570","Earthshaker","Batrider"
"vengefulspirit","bristleback","112","52","60","0.464","Vengeful Spirit","Bristleback"
"storm_spirit","vengefulspirit","110","62","48","0.564","Storm Spirit","Vengeful Spirit"
"nevermore","rattletrap","110","49","61","0.445","Shadow Fiend","Clockwerk"
"batrider","skywrath_mage","109","53","56","0.486","Batrider","Skywrath Mage"
"lion","sniper","109","57","52","0.523","Lion","Sniper"
"vengefulspirit","skywrath_mage","108","57","51","0.528","Vengeful Spirit","Skywrath Mage"
"axe","juggernaut","107","64","43","0.598","Axe","Juggernaut"
"juggernaut","nevermore","106","62","44","0.585","Juggernaut","Shadow Fiend"
"drow_ranger","vengefulspirit","106","57","49","0.538","Drow Ranger","Vengeful Spirit"
"axe","rubick","106","53","53","0.500","Axe","Rubick"
"rubick","troll_warlord","105","58","47","0.552","Rubick","Troll Warlord"
"earthshaker","troll_warlord","104","49","55","0.471","Earthshaker","Troll Warlord"
"storm_spirit","skywrath_mage","104","42","62","0.404","Storm Spirit","Skywrath Mage"
"earthshaker","witch_doctor","103","50","53","0.485","Earthshaker","Witch Doctor"
"nevermore","witch_doctor","103","52","51","0.505","Shadow Fiend","Witch Doctor"
"vengefulspirit","brewmaster","103","56","47","0.544","Vengeful Spirit","Brewmaster"
"rattletrap","troll_warlord","103","49","54","0.476","Clockwerk","Troll Warlord"
"vengefulspirit","viper","102","54","48","0.529","Vengeful Spirit","Viper"
"vengefulspirit","tidehunter","102","45","57","0.441","Vengeful Spirit","Tidehunter"
"axe","witch_doctor","101","50","51","0.495","Axe","Witch Doctor"
"skywrath_mage","ember_spirit","100","52","48","0.520","Skywrath Mage","Ember Spirit"
"axe","lina","100","52","48","0.520","Axe","Lina"
"juggernaut","rubick","98","55","43","0.561","Juggernaut","Rubick"
"vengefulspirit","lina","98","53","45","0.541","Vengeful Spirit","Lina"
"juggernaut","witch_doctor","98","52","46","0.531","Juggernaut","Witch Doctor"
"axe","queenofpain","97","44","53","0.454","Axe","Queen of Pain"
"witch_doctor","queenofpain","97","46","51","0.474","Witch Doctor","Queen of Pain"
"earthshaker","lina","97","51","46","0.526","Earthshaker","Lina"
"nevermore","rubick","96","52","44","0.542","Shadow Fiend","Rubick"
"vengefulspirit","lion","94","43","51","0.457","Vengeful Spirit","Lion"
"vengefulspirit","ember_spirit","92","54","38","0.587","Vengeful Spirit","Ember Spirit"
"vengefulspirit","slark","92","41","51","0.446","Vengeful Spirit","Slark"
"puck","vengefulspirit","91","35","56","0.385","Puck","Vengeful Spirit"
"faceless_void","skywrath_mage","91","36","55","0.396","Faceless Void","Skywrath Mage"
"lina","troll_warlord","91","47","44","0.516","Lina","Troll Warlord"
"lion","chen","89","59","30","0.663","Lion","Chen"
"lion","phoenix","88","42","46","0.477","Lion","Phoenix"
"juggernaut","storm_spirit","88","47","41","0.534","Juggernaut","Storm Spirit"
"queenofpain","skywrath_mage","88","42","46","0.477","Queen of Pain","Skywrath Mage"
"axe","earthshaker","87","34","53","0.391","Axe","Earthshaker"
"storm_spirit","rattletrap","87","46","41","0.529","Storm Spirit","Clockwerk"
"lion","ancient_apparition","87","50","37","0.575","Lion","Ancient Apparition"
"nevermore","batrider","86","41","45","0.477","Shadow Fiend","Batrider"
"juggernaut","queenofpain","86","56","30","0.651","Juggernaut","Queen of Pain"
"sniper","treant","86","55","31","0.640","Sniper","Treant Protector"
"juggernaut","rattletrap","86","53","33","0.616","Juggernaut","Clockwerk"
"lion","slark","86","45","41","0.523","Lion","Slark"
"lion","brewmaster","86","52","34","0.605","Lion","Brewmaster"
"storm_spirit","witch_doctor","85","39","46","0.459","Storm Spirit","Witch Doctor"
"queenofpain","troll_warlord","85","42","43","0.494","Queen of Pain","Troll Warlord"
"axe","wisp","85","42","43","0.494","Axe","Io"
"axe","sniper","85","44","41","0.518","Axe","Sniper"
"earthshaker","rattletrap","84","36","48","0.429","Earthshaker","Clockwerk"
"wisp","bristleback","84","40","44","0.476","Io","Bristleback"
"slark","skywrath_mage","83","33","50","0.398","Slark","Skywrath Mage"
"witch_doctor","batrider","83","43","40","0.518","Witch Doctor","Batrider"
"witch_doctor","troll_warlord","83","38","45","0.458","Witch Doctor","Troll Warlord"
"lion","tidehunter","83","44","39","0.530","Lion","Tidehunter"
"troll_warlord","phoenix","81","36","45","0.444","Troll Warlord","Phoenix"
"queenofpain","rubick","81","40","41","0.494","Queen of Pain","Rubick"
"spirit_breaker","troll_warlord","80","43","37","0.538","Spirit Breaker","Troll Warlord"
"juggernaut","magnataur","80","52","28","0.650","Juggernaut","Magnus"
"earthshaker","ancient_apparition","79","41","38","0.519","Earthshaker","Ancient Apparition"
"witch_doctor","sniper","79","43","36","0.544","Witch Doctor","Sniper"
"axe","storm_spirit","79","27","52","0.342","Axe","Storm Spirit"
"earthshaker","zuus","78","44","34","0.564","Earthshaker","Zeus"
"storm_spirit","troll_warlord","78","35","43","0.449","Storm Spirit","Troll Warlord"
"sniper","rattletrap","77","45","32","0.584","Sniper","Clockwerk"
"queenofpain","rattletrap","77","43","34","0.558","Queen of Pain","Clockwerk"
"vengefulspirit","witch_doctor","76","43","33","0.566","Vengeful Spirit","Witch Doctor"
"nevermore","chen","76","45","31","0.592","Shadow Fiend","Chen"
"vengefulspirit","faceless_void","75","39","36","0.520","Vengeful Spirit","Faceless Void"
"juggernaut","batrider","75","46","29","0.613","Juggernaut","Batrider"
"axe","troll_warlord","75","33","42","0.440","Axe","Troll Warlord"
"earthshaker","bristleback","74","33","41","0.446","Earthshaker","Bristleback"
"vengefulspirit","disruptor","73","34","39","0.466","Vengeful Spirit","Disruptor"
"zuus","troll_warlord","73","43","30","0.589","Zeus","Troll Warlord"
"brewmaster","skywrath_mage","73","38","35","0.521","Brewmaster","Skywrath Mage"
"ancient_apparition","rubick","72","46","26","0.639","Ancient Apparition","Rubick"
"earthshaker","vengefulspirit","72","43","29","0.597","Earthshaker","Vengeful Spirit"
"vengefulspirit","medusa","72","34","38","0.472","Vengeful Spirit","Medusa"
"nevermore","bristleback","71","37","34","0.521","Shadow Fiend","Bristleback"
"vengefulspirit","lycan","71","39","32","0.549","Vengeful Spirit","Lycan"
"rattletrap","chen","71","41","30","0.577","Clockwerk","Chen"
"axe","ancient_apparition","71","32","39","0.451","Axe","Ancient Apparition"
"dazzle","bristleback","71","30","41","0.423","Dazzle","Bristleback"
"juggernaut","lina","70","37","33","0.529","Juggernaut","Lina"
"vengefulspirit","magnataur","70","43","27","0.614","Vengeful Spirit","Magnus"
"batrider","ancient_apparition","70","39","31","0.557","Batrider","Ancient Apparition"
"witch_doctor","bristleback","70","30","40","0.429","Witch Doctor","Bristleback"
"axe","disruptor","70","32","38","0.457","Axe","Disruptor"
"zuus","batrider","70","41","29","0.586","Zeus","Batrider"
"juggernaut","ancient_apparition","69","40","29","0.580","Juggernaut","Ancient Apparition"
"earthshaker","brewmaster","69","42","27","0.609","Earthshaker","Brewmaster"
"lina","queenofpain","69","36","33","0.522","Lina","Queen of Pain"
"lion","wisp","69","32","37","0.464","Lion","Io"
"morphling","vengefulspirit","69","35","34","0.507","Morphling","Vengeful Spirit"
"sniper","skywrath_mage","69","38","31","0.551","Sniper","Skywrath Mage"
"juggernaut","sniper","69","42","27","0.609","Juggernaut","Sniper"
"nevermore","dazzle","69","37","32","0.536","Shadow Fiend","Dazzle"
"wisp","skywrath_mage","69","32","37","0.464","Io","Skywrath Mage"
"lion","skywrath_mage","68","35","33","0.515","Lion","Skywrath Mage"
"earthshaker","slark","68","34","34","0.500","Earthshaker","Slark"
"bristleback","skywrath_mage","68","22","46","0.324","Bristleback","Skywrath Mage"
"axe","zuus","67","30","37","0.448","Axe","Zeus"
"batrider","rubick","67","33","34","0.493","Batrider","Rubick"
"juggernaut","disruptor","67","36","31","0.537","Juggernaut","Disruptor"
"troll_warlord","magnataur","66","37","29","0.561","Troll Warlord","Magnus"
"vengefulspirit","phoenix","66","32","34","0.485","Vengeful Spirit","Phoenix"
"storm_spirit","ancient_apparition","66","38","28","0.576","Storm Spirit","Ancient Apparition"
"storm_spirit","rubick","66","32","34","0.485","Storm Spirit","Rubick"
"zuus","witch_doctor","66","27","39","0.409","Zeus","Witch Doctor"
"morphling","lion","65","39","26","0.600","Morphling","Lion"
"queenofpain","chen","65","45","20","0.692","Queen of Pain","Chen"
"vengefulspirit","dazzle","65","30","35","0.462","Vengeful Spirit","Dazzle"
"queenofpain","bristleback","65","26","39","0.400","Queen of Pain","Bristleback"
"lina","spirit_breaker","64","36","28","0.563","Lina","Spirit Breaker"
"juggernaut","phoenix","64","31","33","0.484","Juggernaut","Phoenix"
"queenofpain","batrider","63","32","31","0.508","Queen of Pain","Batrider"
"sniper","bristleback","63","33","30","0.524","Sniper","Bristleback"
"juggernaut","zuus","63","38","25","0.603","Juggernaut","Zeus"
"nevermore","lina","63","35","28","0.556","Shadow Fiend","Lina"
"lion","ember_spirit","62","29","33","0.468","Lion","Ember Spirit"
"lina","batrider","62","25","37","0.403","Lina","Batrider"
"nevermore","ancient_apparition","62","31","31","0.500","Shadow Fiend","Ancient Apparition"
"lina","lion","62","25","37","0.403","Lina","Lion"
"sand_king","skywrath_mage","61","26","35","0.426","Sand King","Skywrath Mage"
"lion","lycan","61","30","31","0.492","Lion","Lycan"
"tidehunter","skywrath_mage","61","28","33","0.459","Tidehunter","Skywrath Mage"
"vengefulspirit","beastmaster","61","34","27","0.557","Vengeful Spirit","Beastmaster"
"antimage","vengefulspirit","60","28","32","0.467","Anti Mage","Vengeful Spirit"
"vengefulspirit","enigma","60","37","23","0.617","Vengeful Spirit","Enigma"
"queenofpain","ancient_apparition","60","34","26","0.567","Queen of Pain","Ancient Apparition"
"earthshaker","phoenix","60","28","32","0.467","Earthshaker","Phoenix"
"storm_spirit","zuus","60","25","35","0.417","Storm Spirit","Zeus"
"earthshaker","medusa","60","29","31","0.483","Earthshaker","Medusa"
"nevermore","queenofpain","60","30","30","0.500","Shadow Fiend","Queen of Pain"
"zuus","skywrath_mage","59","28","31","0.475","Zeus","Skywrath Mage"
"queenofpain","wisp","59","28","31","0.475","Queen of Pain","Io"
"earthshaker","disruptor","59","25","34","0.424","Earthshaker","Disruptor"
"lion","spirit_breaker","58","26","32","0.448","Lion","Spirit Breaker"
"vengefulspirit","windrunner","58","24","34","0.414","Vengeful Spirit","Windranger"
"lion","magnataur","58","39","19","0.672","Lion","Magnus"
"morphling","ancient_apparition","58","35","23","0.603","Morphling","Ancient Apparition"
"chen","troll_warlord","58","39","19","0.672","Chen","Troll Warlord"
"tidehunter","witch_doctor","57","28","29","0.491","Tidehunter","Witch Doctor"
"ancient_apparition","troll_warlord","57","31","26","0.544","Ancient Apparition","Troll Warlord"
"sniper","rubick","57","30","27","0.526","Sniper","Rubick"
"rattletrap","rubick","56","29","27","0.518","Clockwerk","Rubick"
"storm_spirit","phoenix","56","28","28","0.500","Storm Spirit","Phoenix"
"vengefulspirit","templar_assassin","56","32","24","0.571","Vengeful Spirit","Templar Assassin"
"chen","rubick","56","28","28","0.500","Chen","Rubick"
"lina","rubick","56","29","27","0.518","Lina","Rubick"
"earthshaker","morphling","56","30","26","0.536","Earthshaker","Morphling"
"disruptor","troll_warlord","56","25","31","0.446","Disruptor","Troll Warlord"
"vengefulspirit","invoker","56","27","29","0.482","Vengeful Spirit","Invoker"
"rattletrap","ancient_apparition","55","35","20","0.636","Clockwerk","Ancient Apparition"
"storm_spirit","batrider","55","25","30","0.455","Storm Spirit","Batrider"
"vengefulspirit","chen","55","34","21","0.618","Vengeful Spirit","Chen"
"nevermore","tidehunter","55","25","30","0.455","Shadow Fiend","Tidehunter"
"nevermore","disruptor","55","27","28","0.491","Shadow Fiend","Disruptor"
"storm_spirit","chen","55","36","19","0.655","Storm Spirit","Chen"
"storm_spirit","bristleback","55","21","34","0.382","Storm Spirit","Bristleback"
"batrider","troll_warlord","55","29","26","0.527","Batrider","Troll Warlord"
"witch_doctor","viper","55","24","31","0.436","Witch Doctor","Viper"
"earthshaker","dazzle","55","35","20","0.636","Earthshaker","Dazzle"
"puck","lion","55","31","24","0.564","Puck","Lion"
"antimage","batrider","54","24","30","0.444","Anti Mage","Batrider"
"lion","dazzle","53","21","32","0.396","Lion","Dazzle"
"sniper","batrider","53","27","26","0.509","Sniper","Batrider"
"sniper","chen","53","36","17","0.679","Sniper","Chen"
"juggernaut","chen","53","34","19","0.642","Juggernaut","Chen"
"dazzle","troll_warlord","53","26","27","0.491","Dazzle","Troll Warlord"
"zuus","rattletrap","53","23","30","0.434","Zeus","Clockwerk"
"axe","slark","53","21","32","0.396","Axe","Slark"
"lina","treant","53","33","20","0.623","Lina","Treant Protector"
"dazzle","brewmaster","52","34","18","0.654","Dazzle","Brewmaster"
"earthshaker","viper","52","25","27","0.481","Earthshaker","Viper"
"rattletrap","wisp","52","34","18","0.654","Clockwerk","Io"
"drow_ranger","visage","52","31","21","0.596","Drow Ranger","Visage"
"lion","faceless_void","52","16","36","0.308","Lion","Faceless Void"
"medusa","skywrath_mage","52","26","26","0.500","Medusa","Skywrath Mage"
"witch_doctor","faceless_void","52","20","32","0.385","Witch Doctor","Faceless Void"
"viper","skywrath_mage","52","22","30","0.423","Viper","Skywrath Mage"
"juggernaut","silencer","51","21","30","0.412","Juggernaut","Silencer"
"ancient_apparition","slark","51","23","28","0.451","Ancient Apparition","Slark"
"lion","viper","51","26","25","0.510","Lion","Viper"
"lion","beastmaster","51","31","20","0.608","Lion","Beastmaster"
"antimage","lion","51","22","29","0.431","Anti Mage","Lion"
"axe","bristleback","50","16","34","0.320","Axe","Bristleback"
"witch_doctor","chen","50","28","22","0.560","Witch Doctor","Chen"
"queenofpain","treant","50","24","26","0.480","Queen of Pain","Treant Protector"
"storm_spirit","lina","50","23","27","0.460","Storm Spirit","Lina"
"lion","medusa","50","28","22","0.560","Lion","Medusa"
"viper","batrider","50","27","23","0.540","Viper","Batrider"
"treant","troll_warlord","50","29","21","0.580","Treant Protector","Troll Warlord"
"wisp","slark","50","25","25","0.500","Io","Slark"
"axe","medusa","50","18","32","0.360","Axe","Medusa"
"juggernaut","viper","50","21","29","0.420","Juggernaut","Viper"
"sniper","troll_warlord","50","27","23","0.540","Sniper","Troll Warlord"
"vengefulspirit","spirit_breaker","50","27","23","0.540","Vengeful Spirit","Spirit Breaker"
"vengefulspirit","broodmother","49","27","22","0.551","Vengeful Spirit","Broodmother"
"skywrath_mage","phoenix","49","25","24","0.510","Skywrath Mage","Phoenix"
"axe","viper","49","23","26","0.469","Axe","Viper"
"vengefulspirit","doom_bringer","49","14","35","0.286","Vengeful Spirit","Doom"
"lion","templar_assassin","48","20","28","0.417","Lion","Templar Assassin"
"axe","lycan","48","21","27","0.438","Axe","Lycan"
"antimage","skywrath_mage","48","24","24","0.500","Anti Mage","Skywrath Mage"
"vengefulspirit","wisp","48","26","22","0.542","Vengeful Spirit","Io"
"lion","invoker","48","21","27","0.438","Lion","Invoker"
"brewmaster","rubick","48","26","22","0.542","Brewmaster","Rubick"
"witch_doctor","brewmaster","48","25","23","0.521","Witch Doctor","Brewmaster"
"nevermore","brewmaster","48","27","21","0.563","Shadow Fiend","Brewmaster"
