,hero,text,num_buffs,num_nerfs,change_type,text_no_abi
0,Abaddon,"[u'Mist Coil cooldown reduced from 5 to 4.5', u""Borrowed Time  Aghanim's Scepter damage redirection increased from 35% to 50%""]",2,0,"[1, 1]","[u'cooldown reduced from 5 to 4.5', u""Aghanim's Scepter damage redirection increased from 35% to 50%""]"
1,Alchemist,"[u'Acid Spray damage increased from 12/16/20/24 to 15/20/25/30', u""Greevil's Greed Bounty Rune bonus increased from 4x to 5x""]",2,0,"[1, 1]","[u'damage increased from 12/16/20/24 to 15/20/25/30', u'Bounty Rune bonus increased from 4x to 5x']"
2,Ancient Apparition,[u'Cold Feet cast range increased from 700 to 700/800/900/1000'],1,0,[1],[u'cast range increased from 700 to 700/800/900/1000']
3,Anti-Mage,"[u'Blink distance rescaled from 1000/1075/1150/1150 to 925/1000/1075/1150', u'Mana Void stun rescaled from 0.1/0.2/0.3 to 0.15']",0,2,"[-1, -1]","[u'distance rescaled from 1000/1075/1150/1150 to 925/1000/1075/1150', u'stun rescaled from 0.1/0.2/0.3 to 0.15']"
4,Arc Warden,[u'Spark Wraith cooldown reduced from 7 to 4'],1,0,[1],[u'Spark Wraith cooldown reduced from 7 to 4']
5,Axe,[],0,0,[],[]
6,Bane,"[u'Enfeeble cooldown reduced from 10 to 8', u'Brain Sap mana cost reduced from 100/125/150/175 to 70/100/130/160', u""Fixed  Fiend's Grip sometimes not granting True Sight over the target properly""]",3,0,"[1, 1, 1]","[u'cooldown reduced from 10 to 8', u'mana cost reduced from 100/125/150/175 to 70/100/130/160', u'Fixed   sometimes not granting True Sight over the target properly']"
7,Batrider,"[u'Flamebreak damage over time reduced from 50 per second to 25/30/35/40', u'Flamebreak damage duration increased from 1/2/3/4 to 3/4/5/6', u""Added  Aghanim's Scepter upgrade:  Flaming Lasso grabs its target, as well as the target's nearest allied hero within 400 range. The secondary target is tethered to the first. Also causes Lasso to deal 100 damage per second.""]",2,1,"[-1, 1, 1]","[u'damage over time reduced from 50 per second to 25/30/35/40', u'damage duration increased from 1/2/3/4 to 3/4/5/6', u""Added  Aghanim's Scepter upgrade:   grabs its target, as well as the target's nearest allied hero within 400 range. The secondary target is tethered to the first. Also causes Lasso to deal 100 damage per second.""]"
8,Beastmaster,[],0,0,[],[]
9,Bloodseeker,"[u'Thirst scaling changed from 100%->25% to 75%->25%', u'Bloodrage heal reduced from 25% to 19/21/23/25%']",0,2,"[-1, -1]","[u'scaling changed from 100%->25% to 75%->25%', u'heal reduced from 25% to 19/21/23/25%']"
